author_id,created_at.x,id,lang,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,created_at.y,username,location,verified,name,url,description
310028467,2021-04-20T15:36:14.000Z,1384531361399246850,es,"@felipekast @senadornavarro Solo caca en las decisiones de este país
Caca,caca y más caca",0,0,0,0,2011-06-03T02:35:09.000Z,excesante2345,Xxxxc,FALSE,Facha Pobre💚,"","Ya no quiero paz, ahora quiero Justicia,  #FueradeChileComunista.  Disculpen vocabulario Estoy XATA

RECHAZO"
324539446,2021-04-20T23:46:01.000Z,1384654618265804807,es,"@felipekast @senadornavarro Ellos mandan en la oposición, cuál es la sorpresa !!",0,0,0,0,2011-06-26T20:11:35.000Z,akilesbarwin,"",FALSE,Aki BarWin,"",""
3246993671,2021-04-20T21:36:54.000Z,1384622126137741314,es,"@felipekast @senadornavarro y q opina de Hernán larraín cómplice pasivo de colonia dignidad, de Larroulet, actor pasivo de la Dictadura más sangrienta en nuestro país, de Patricio Melero alcalde designado x pinochet.   hablemos de hipocresía.",0,0,0,0,2015-05-11T23:53:54.000Z,McKalisterPeter,Chile,FALSE,El ALF,"","Marciano venido del Planeta Melmack, le bolseo a los Tanner, Agnóstico. APRUEBO!!!"
32474966,2021-04-20T18:37:21.000Z,1384576941307613186,es,"@MaherIsi @felipekast @senadornavarro Eso es justo lo q dices Isi, la oposición esta muy desatada, busca hacer lo q quiere y no por el bien del pueblo sino suyo. Tiene a la justicia y los medios de su lado. Todos confabulan para hacerle la vida imposible al gobierno.

el activismopolitico contra Pilera es asqueroso.",0,0,0,0,2009-04-17T16:48:32.000Z,Sergio_Valech,"Santiago, de Chile",FALSE,sergio valech,"",Periodista. Amo el baile y el cine
3254046425,2021-04-20T16:15:34.000Z,1384541257616199680,es,"@felipekast @Fishhook20201 @senadornavarro Lo que pasa es que uds creen el viejito pascuero. Desde cuándo la izquierda hace lo que promete?.
Basta haber sido ingenuo una vez, pero no siempre.",0,0,0,0,2015-05-14T15:14:14.000Z,cristihares,"",FALSE,MUNDO VIAJERO CON FUERZA A TRABAJAR.,"","Pasado el mal rato, con propiedad digo... los peores políticos y congreso en la historia de Chile. 🇨🇱🇨🇱🇨🇱"
327082458,2021-04-21T01:35:43.000Z,1384682226936385537,es,@Chucurumbito @felipekast Recién se le cae el tejo?,1,0,0,0,2011-06-30T23:49:08.000Z,MiriamCruzSalfa,El planeta tierra ,FALSE,Mirokha. #patriota y rechazo por mi madre.,"",Profesora pensionada con 168 mil pesos después de 35 años de servicio. Ahora soy pobresora y ...con mis hijos tan amados .
3315691330,2021-04-20T15:30:25.000Z,1384529896500760578,und,@kantor_pauline @senadornavarro @felipekast @evopoli @ignaciobriones_ @La_Segunda https://t.co/y0VgPVJ0Gp,0,0,0,0,2015-06-09T19:10:18.000Z,terceraviaciuda,"Puente Alto, Chile",FALSE,Guillermo Quiroz,"",En tercera via ciudadana Observó y medito mejorar mi país aunque algunos me vean como un patipelado
33699071,2021-04-20T21:40:54.000Z,1384623134058467328,es,@vmoralesa @felipekast @Janomenez @senadornavarro No sé puede decir mejor. Notable su comentario.,0,0,0,0,2009-04-20T22:47:51.000Z,desdeloslagos,Chile,FALSE,Jorge Arangua Ch,"","Amante de mi familia, del trabajo y de los valores 
prefiero vivir la injusticia del capitalismo, con todos sus defectos, que la miseria y necedad del comunismo"
3376226740,2021-04-21T00:08:14.000Z,1384660209772204037,es,@andreasm32 @SebAstudillo @felipekast @senadornavarro El problema más grave es que acá se demuestra que la izquierda no cumple ni respeta los acuerdos. Siempre tienen excusas pero al final el hambre de poder los ciega.,0,0,0,0,2015-07-14T18:33:09.000Z,Rarce1169,"",FALSE,Rodrigo Arce,"",""
348824167,2021-04-20T15:26:02.000Z,1384528794686574594,es,@felipekast @senadornavarro No querías que nos dieran nuestro 10% chao,0,0,0,0,2011-08-05T02:04:26.000Z,magdalena0146,"",FALSE,Magdalena,"",""
3525312933,2021-04-20T17:25:42.000Z,1384558910925910030,es,@claulibertaria @felipekast @senadornavarro No a hecho nada  en la araucanía por favor... entiendan a los políticos les importa un carajo la gente o no @felipekast,0,0,0,0,2015-09-02T17:19:48.000Z,crsouva,"",FALSE,Tecri,"","Ingeniero y CEO me encantan las motos el enduro el rally mi pasión  INDEPENDIENTE pero patriota sin partido siempre doy gracias a dios por todo 
.."
